timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1573940057306,506,UC_03_casexe_Авторизация под игроком,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2-1,,true,,5527,693,1,2,null,506,0,0
1573940057719,2294,HTTP Request_Запрос профиля игрока,200,OK,setUp Thread Group 1-1,text,true,,1079,1366,1,2,http://test-api.d6.dev.devcaz.com/v2/players/698,2294,0,0
1573940057718,2294,UC_04_casexe_Запрос профиля игрока,200,"Number of samples in transaction : 1, number of failing samples : 0",setUp Thread Group 1-1,,true,,1079,1366,1,2,null,2294,1,0
1573940057813,2246,HTTP Request_Запрос профиля игрока,200,OK,Thread Group 2-1,text,true,,1079,1366,1,2,http://test-api.d6.dev.devcaz.com/v2/players/697,2246,0,0
1573940057812,2246,UC_04_casexe_Запрос профиля игрока,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2-1,,true,,1079,1366,1,2,null,2246,2,0
1573940060014,231,HTTP Request_Запрос списка игр игроком,200,OK,setUp Thread Group 1-1,text,true,,1046,1360,1,2,http://test-api.d6.dev.devcaz.com/v2/games,231,0,48
1573940060013,231,UC_05_casexe_Запрос списка игр игроком,200,"Number of samples in transaction : 2, number of failing samples : 0",setUp Thread Group 1-1,,true,,1046,1360,1,2,null,231,2,48
1573940060060,250,HTTP Request_Запрос списка игр игроком,200,OK,Thread Group 2-1,text,true,,1046,1360,1,2,http://test-api.d6.dev.devcaz.com/v2/games,250,0,56
1573940060060,250,UC_05_casexe_Запрос списка игр игроком,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 2-1,,true,,1046,1360,1,2,null,250,0,56
1573940060246,171,HTTP Request_Запрос списка игр игроком с сортировкой,200,OK,setUp Thread Group 1-1,text,true,,1056,1370,1,2,http://test-api.d6.dev.devcaz.com/v2/games?sort=name,171,0,0
1573940060246,171,UC_06_casexe_Запрос списка игр игроком с сортировкой,200,"Number of samples in transaction : 1, number of failing samples : 0",setUp Thread Group 1-1,,true,,1056,1370,1,2,null,171,1,0
1573940060310,182,HTTP Request_Запрос списка игр игроком с сортировкой,200,OK,Thread Group 2-1,text,true,,1056,1370,1,2,http://test-api.d6.dev.devcaz.com/v2/games?sort=name,182,0,0
1573940060310,182,UC_06_casexe_Запрос списка игр игроком с сортировкой,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2-1,,true,,1056,1370,1,2,null,182,1,0
1573940060418,205,HTTP Request_Запрос одной игры игроком по id,404,Not Found,setUp Thread Group 1-1,text,false,Test failed: code expected something using /200/	Test failed: code expected something using /201/	,945,1364,1,2,http://test-api.d6.dev.devcaz.com/v2/games/698,205,0,0
1573940060418,205,UC_07_casexe_Запрос одной игры игроком по id,,"Number of samples in transaction : 1, number of failing samples : 1",setUp Thread Group 1-1,,false,,945,1364,1,2,null,205,0,0
1573940060493,203,HTTP Request_Запрос одной игры игроком по id,404,Not Found,Thread Group 2-1,text,false,Test failed: code expected something using /200/	Test failed: code expected something using /201/	,945,1364,1,1,http://test-api.d6.dev.devcaz.com/v2/games/697,203,0,0
1573940060493,204,UC_07_casexe_Запрос одной игры игроком по id,,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 2-1,,false,,945,1364,1,1,null,203,0,0
